Wall time,Step,Value
1580027154.9008715,283100,0.0004176932852715254
1580027963.6546597,286000,0.0004151428584009409
1580028298.1556456,287200,0.0004140874953009188
1580028326.0120304,287300,0.000413999572629109
1580028576.8813324,288200,0.0004132080648560077
1580028827.6584551,289100,0.0004124165279790759
1580028994.7693417,289700,0.0004118888755328953
1580029106.1722603,290100,0.00041153706843033433
1580029579.4458804,291800,0.0004100420046597719
1580029635.1234846,292000,0.0004098661011084914
1580029662.986925,292100,0.00040977817843668163
1580029690.8244221,292200,0.0004096902266610414
1580029997.0316024,293300,0.00040872281533665955
1580030498.0735862,295100,0.0004071397997904569
1580030971.4254737,296800,0.000405644706916064
1580031166.3756385,297500,0.0004050291026942432
1580031194.2352023,297600,0.00040494115091860294
1580031835.4285944,299900,0.0004029184055980295
1580031974.895958,300400,0.0004024786758236587
1580032030.7850819,300600,0.0004023027722723782
1580032086.5853055,300800,0.0004021268687210977
1580032142.4473317,301000,0.00040195099427364767
1580032198.32424,301200,0.00040177509072236717
1580032310.1451569,301600,0.00040142331272363663
1580032338.1179037,301700,0.0004013353609479964
1580032646.1765735,302800,0.000400367978727445
1580032730.2635972,303100,0.00040010412340052426
1580032954.8393452,303900,0.0003994005674030632
1580033039.1681118,304200,0.00039913671207614243
1580033292.1828165,305100,0.0003983452043030411
1580033714.753597,306600,0.00039702601497992873
1580033827.6087987,307000,0.0003966742369811982
1580033884.0713556,307200,0.00039649836253374815
1580034307.6742764,308700,0.0003951791732106358
1580034675.098613,310000,0.00039403585833497345
1580035325.8416955,312300,0.0003920131130144
1580035750.3371627,313800,0.00039069392369128764
1580035778.6821449,313900,0.0003906059719156474
1580035976.626845,314600,0.00038999036769382656
1580036117.9190927,315100,0.00038955063791945577
1580036259.1604657,315600,0.000389110908145085
1580036372.0039139,316000,0.00038875913014635444
1580036428.4469373,316200,0.00038858322659507394
1580036879.64537,317800,0.0003871760854963213
1580037189.255334,318900,0.00038620870327576995
1580037385.9862754,319600,0.00038559306995011866
1580037414.0902703,319700,0.0003855051181744784
1580037610.7069147,320400,0.0003848895139526576
1580037694.9260912,320700,0.00038462565862573683
1580038367.561557,323100,0.00038251496152952313
1580038451.5548356,323400,0.00038225113530643284
1580038647.3584216,324100,0.00038163550198078156
1580038731.215837,324400,0.00038137167575769126
1580038759.197199,324500,0.000381283723982051
1580038815.1079454,324700,0.000381107849534601
1580038843.0403695,324800,0.0003810198977589607
1580039402.0405898,326800,0.00037926097866147757
1580039541.8094969,327300,0.0003788212488871068
1580039793.2512114,328200,0.00037802974111400545
1580039849.1199696,328400,0.00037785383756272495
1580040463.5131338,330600,0.00037591904401779175
1580040686.8177698,331400,0.0003752154589165002
1580041077.7013302,332800,0.0003739842213690281
1580041105.59995,332900,0.00037389626959338784
1580041245.2291296,333400,0.00037345653981901705
1580041385.4584944,333900,0.00037301681004464626
1580041582.4264264,334600,0.00037240120582282543
1580042397.140844,337500,0.00036985077895224094
1580042453.6384735,337700,0.00036967487540096045
1580042510.18079,337900,0.0003694990009535104
1580042736.3836823,338700,0.00036879541585221887
1580043216.424307,340400,0.00036730035208165646
1580043357.4702978,340900,0.00036686062230728567
1580043977.0045457,343100,0.000364925799658522
1580044061.4118626,343400,0.0003646619734354317
1580044202.1100316,343900,0.00036422224366106093
1580044399.092279,344600,0.00036360661033540964
1580044511.6157048,345000,0.0003632548323366791
1580044567.9085732,345200,0.00036307895788922906
1580044736.6087894,345800,0.000362551276339218
1580044764.7112596,345900,0.00036246332456357777
1580044933.379415,346500,0.00036193564301356673
1580045130.0747194,347200,0.0003613200387917459
1580045298.657334,347800,0.00036079235724173486
1580045382.9228992,348100,0.00036052853101864457
1580045860.1108758,349800,0.0003590334381442517
1580045916.1805253,350000,0.0003588575345929712
1580046196.6323168,351000,0.0003579781041480601
1580046280.7787635,351300,0.00035771424882113934
1580046476.9994557,352000,0.0003570986445993185
1580046925.426255,353600,0.0003556915035005659
1580046981.4204743,353800,0.0003555155999492854
1580047149.4431384,354400,0.0003549879475031048
1580047261.4391448,354800,0.0003546361404005438
1580047317.434281,355000,0.00035446026595309377
1580047709.2598217,356400,0.00035322902840562165
1580048184.81673,358100,0.0003517339355312288
1580048520.3086028,359300,0.00035067860153503716
1580048743.9569576,360100,0.0003499750164337456
1580049247.1413996,361900,0.00034839200088754296
1580049303.1017442,362100,0.00034821609733626246
1580049358.9954932,362300,0.0003480402228888124
1580049442.9041858,362600,0.0003477763675618917
1580049526.7661343,362900,0.0003475125413388014
1580050002.1592524,364600,0.0003460174484644085
1580050310.086662,365700,0.00034505006624385715
1580050338.0550258,365800,0.0003449621144682169
1580050505.9578018,366400,0.00034443443291820586
1580050701.8827891,367100,0.000343818828696385
1580051541.8681786,370100,0.0003411804500501603
1580051597.8329687,370300,0.0003410045464988798
1580052269.8859544,372700,0.0003388938494026661
1580052381.9530668,373100,0.00033854207140393555
1580052409.9483628,373200,0.0003384541196282953
1580052437.950588,373300,0.00033836616785265505
1580052606.0642295,373900,0.00033783851540647447
1580052690.1145482,374200,0.0003375746600795537
1580052746.0807283,374400,0.0003373987856321037
1580052998.2396939,375300,0.0003366072487551719
1580053194.2841873,376000,0.00033599164453335106
1580053558.382745,377300,0.0003348483587615192
1580053782.5516686,378100,0.00033414477366022766
1580054146.8307226,379400,0.0003330014878883958
1580054202.8497615,379600,0.0003328255843371153
1580054286.9215188,379900,0.000332561758114025
1580054623.2127144,381100,0.0003315063950140029
1580054735.4186938,381500,0.0003311546170152724
1580054875.5707495,382000,0.0003307148872409016
1580054931.6300056,382200,0.00033053901279345155
1580055211.9403772,383200,0.00032965955324470997
1580055324.065714,383600,0.00032930777524597943
1580055688.5403047,384900,0.0003281644603703171
1580056137.2476892,386500,0.0003267573192715645
1580056277.4659505,387000,0.0003263175894971937
1580056473.740742,387700,0.00032570198527537286
1580057175.0959265,390200,0.0003235033364035189
1580057203.2051327,390300,0.00032341538462787867
1580057231.281564,390400,0.0003233274328522384
1580057427.6732132,391100,0.0003227118286304176
1580057708.1095624,392100,0.000321832369081676
1580057932.5591013,392900,0.0003211288130842149
1580058129.01367,393600,0.00032051317975856364
1580058241.260249,394000,0.0003201614017598331
1580058550.0018218,395100,0.00031919399043545127
1580058718.3946736,395700,0.00031866630888544023
1580058886.7306197,396300,0.00031813865643925965
1580059503.6577644,398500,0.000316203833790496
1580059812.1121278,399600,0.00031523642246611416
1580059952.3919713,400100,0.0003147966926917434
1580060204.6636612,401000,0.00031400518491864204
1580060232.7018738,401100,0.0003139172331430018
1580060541.0252213,402200,0.0003129498509224504
1580060569.0738904,402300,0.0003128618991468102
1580060877.387072,403400,0.00031189448782242835
1580060961.475615,403700,0.00031163066159933805
1580061157.6670315,404400,0.00031101502827368677
1580061241.7235806,404700,0.0003107512020505965
1580061269.7656653,404800,0.0003106632502749562
1580061297.7642171,404900,0.000310575298499316
1580062558.911123,409400,0.00030661775963380933
1580062699.157131,409900,0.00030617802985943854
1580062727.1835945,410000,0.0003060900780837983
1580063007.602839,411000,0.0003052106185350567
1580064633.1265628,416800,0.00030010976479388773
1580065053.1936507,418300,0.00029879057547077537
1580065361.2606213,419400,0.00029782316414639354
1580065389.2865527,419500,0.0002977352123707533
1580065445.2839007,419700,0.00029755933792330325
1580065501.295839,419900,0.00029738343437202275
1580065585.2541294,420200,0.00029711960814893246
1580065613.2656658,420300,0.0002970316563732922
1580065669.252366,420500,0.0002968557528220117
1580066312.964965,422800,0.00029483300750143826
1580066452.8782516,423300,0.00029439327772706747
1580066536.8407826,423600,0.0002941294515039772
1580066760.6388805,424400,0.00029342586640268564
1580067068.4483788,425500,0.00029245848418213427
1580067320.3015726,426400,0.0002916669473052025
1580067404.2726502,426700,0.0002914031210821122
1580067432.259731,426800,0.00029131516930647194
1580067684.0766966,427700,0.0002905236615333706
1580067852.0670218,428300,0.0002899959799833596
1580068299.8932958,429900,0.0002885888679884374
1580068467.8711226,430500,0.0002880611864384264
1580068579.8729782,430900,0.00028770940843969584
1580068831.8867505,431800,0.0002869179006665945
1580068887.8641777,432000,0.000286741997115314
1580069139.8010032,432900,0.0002859504893422127
1580069251.8172982,433300,0.00028559871134348214
1580069419.8600366,433900,0.0002850710297934711
1580069559.8987124,434400,0.0002846313000191003
1580070176.3580692,436600,0.00028269647737033665
1580070288.5047877,437000,0.0002823446993716061
1580070540.823538,437900,0.0002815531915985048
1580070961.2812054,439400,0.0002802340022753924
1580071157.483672,440100,0.0002796183980535716
1580071325.618765,440700,0.00027909071650356054
1580071437.741337,441100,0.00027873893850483
1580071465.7842364,441200,0.00027865098672918975
1580071998.37991,443100,0.00027698001940734684
1580072026.3986382,443200,0.0002768920676317066
1580072082.4935737,443400,0.0002767161640804261
1580072250.7000096,444000,0.0002761885116342455
1580072334.7893481,444300,0.00027592465630732477
1580073091.7631583,447000,0.0002735501329880208
1580073260.1189444,447600,0.00027302245143800974
1580073372.3488512,448000,0.0002726706734392792
1580073456.4548097,448300,0.00027240681811235845
1580073681.0064845,449100,0.00027170326211489737
1580073737.0817618,449300,0.00027152735856361687
1580074213.8859282,451000,0.00027003229479305446
1580074241.94768,451100,0.0002699443430174142
1580074774.8914764,453000,0.0002682733756955713
1580074802.9314406,453100,0.00026818542391993105
1580074887.1207476,453400,0.00026792159769684076
1580075139.9536824,454300,0.00026713008992373943
1580075364.6709805,455100,0.0002664265048224479
1580075420.8800611,455300,0.00026625063037499785
1580075448.953556,455400,0.0002661626785993576
1580075870.621858,456900,0.00026484348927624524
1580076151.9147518,457900,0.00026396402972750366
1580076236.2785475,458200,0.00026370020350441337
1580076545.732378,459300,0.00026273279218003154
1580076630.1792197,459600,0.00026246896595694125
1580076686.4208286,459800,0.00026229306240566075
1580076742.7181127,460000,0.00026211715885438025
1580077080.4395225,461200,0.00026106182485818863
1580077559.0069642,462900,0.00025956673198379576
1580077981.343704,464400,0.0002582475426606834
1580078150.3519385,465000,0.0002577198902145028
1580078347.543633,465700,0.0002571042568888515
1580078572.9885328,466500,0.00025640070089139044
1580078685.7156768,466900,0.0002560489228926599
1580078882.8306782,467600,0.0002554332895670086
1580078911.0392098,467700,0.00025534533779136837
1580078939.1780376,467800,0.0002552573860157281
1580079220.7795,468800,0.000254377955570817
1580079952.638062,471400,0.0002520913549233228
1580080093.2651725,471900,0.000251651625148952
1580080543.2765076,473500,0.0002502444840501994
1580080683.9532087,474000,0.0002498047542758286
1580080852.6651957,474600,0.00024927707272581756
1580080965.0998795,475000,0.000248925294727087
1580080993.2155282,475100,0.00024883734295144677
1580081218.0474024,475900,0.0002481337869539857
1580081302.353485,476200,0.0002478699607308954
1580081330.4921982,476300,0.00024778200895525515
1580081386.6794398,476500,0.00024760610540397465
1580081471.03748,476800,0.00024734227918088436
1580081724.1616004,477700,0.00024655077140778303
1580081808.5204086,478000,0.0002462869160808623
1580081836.6331565,478100,0.0002461989934090525
1580081949.017917,478500,0.0002458471863064915
1580082033.3579597,478800,0.0002455833600834012
1580082061.4703805,478900,0.00024549540830776095
1580082230.135506,479500,0.00024496775586158037
1580082398.7329335,480100,0.00024444007431156933
1580082454.949631,480300,0.00024426417076028883
1580082539.2305067,480600,0.00024400034453719854
1580083101.2929215,482600,0.00024224142543971539
1580083522.609681,484100,0.00024092223611660302
1580083859.6453557,485300,0.00023986688756849617
1580084393.297806,487200,0.00023819592024665326
1580084449.468637,487400,0.00023802001669537276
1580084898.6132782,489000,0.00023661289014853537
1580084982.792621,489300,0.00023634904937352985
1580085038.9295993,489500,0.00023617316037416458
1580085066.9789274,489600,0.00023608522315043956
1580085600.1395178,491500,0.00023441424127668142
1580086273.417828,493900,0.00023230354418046772
1580086357.5828435,494200,0.0002320397034054622
1580086722.0963478,495500,0.00023089641763363034
1580086946.3967314,496300,0.00023019284708425403
1580087170.695763,497100,0.00022948927653487772
1580087198.75823,497200,0.0002294013393111527
1580087282.8950205,497500,0.00022913749853614718
1580087338.997947,497700,0.0002289616095367819
1580087367.050977,497800,0.00022887365776114166
1580087759.562842,499200,0.00022764242021366954
1580087983.9231458,500000,0.00022693884966429323
1580088600.9896193,502200,0.0002250040415674448
1580088769.2705834,502800,0.000224476374569349
1580088853.4220436,503100,0.00022421253379434347
1580089049.8391232,503800,0.0002235969150206074
1580089414.7588935,505100,0.0002224536146968603
1580089470.9025047,505300,0.00022227772569749504
1580089498.9516957,505400,0.0002221897739218548
1580089695.5632796,506100,0.00022157415514811873
1580090201.605022,507900,0.00021999113960191607
1580090651.6410477,509500,0.00021858399850316346
1580090848.659029,510200,0.0002179683797294274
1580090989.4269586,510700,0.0002175286499550566
1580091017.6289988,510800,0.0002174407127313316
1580091186.4582012,511400,0.00021691303118132055
1580091552.5886822,512700,0.00021576973085757345
1580091608.9245892,512900,0.00021559384185820818
1580091777.9803507,513500,0.00021506617486011237
1580092510.8113587,516100,0.00021277957421261817
1580092651.832784,516600,0.00021233984443824738
1580093018.2649956,517900,0.0002111965586664155
1580093131.044571,518300,0.00021084476611576974
1580093638.4679506,520100,0.00020926175056956708
1580093863.860813,520900,0.00020855818002019078
1580094511.9920843,523200,0.00020653543469961733
1580094596.4746075,523500,0.0002062715939246118
1580094624.6176841,523600,0.00020618364214897156
1580094737.32899,524000,0.00020583186415024102
1580094765.5130744,524100,0.00020574391237460077
1580094878.1256266,524500,0.00020539213437587023
1580095384.7369938,526300,0.00020380910427775234
1580095497.3029263,526700,0.0002034573262790218
1580096144.3019714,529000,0.00020143456640653312
1580096509.8737087,530300,0.00020029128063470125
1580096959.4518287,531900,0.00019888413953594863
1580097268.3094397,533000,0.00019791674276348203
1580097717.6701362,534600,0.00019650960166472942
1580097801.9113185,534900,0.00019624577544163913
1580098110.8223567,536000,0.0001952783641172573
1580098138.8608394,536100,0.00019519042689353228
1580098223.1049228,536400,0.00019492658611852676
1580098700.372074,538100,0.00019343150779604912
